Region,Casos,Fallecidos
Amazonas,26557,457
Ancash,63326,2679
Apurimac,19660,481
Arequipa,72911,2457
Ayacucho,26481,737
Cajamarca,52187,1255
Callao,91921,3230
Cusco,55000,1186
Huancavelica,13261,377
Huanuco,30119,953
Ica,48921,2797
Junin,62644,2157
LaLibertad,66876,3802
Lambayeque,50785,2572
LimaMetropolitana,771475,24415
LimaRegion,61751,2773
Loreto,38536,1411
MadreDeDios,12719,228
Moquegua,23283,540
Pasco,12990,365
Piura,71139,3009
Puno,29075,830
SanMartin,40539,1199
Tacna,23509,746
Tumbes,15266,557
Ucayali,30067,913
